Instrument,EXPIR_DATE,PUT_CALL,STRIKE_PRC,CF_BID,CF_ASK,IMP_VOLT,DELTA,GAMMA,RHO,THETA,VEGA
/NDXp1725A5600.U,2025-04-17,6,15600,0.0,0.7,73.8384,-0.001,0.0,-0.0014,-0.7629,0.0609
/NDXd1725A5625.U,2025-04-17,5,15625,3114.9,3307.6,89.2007,0.9942,0.0,1.1155,-5.6211,0.3033
/NDXp1725A5625.U,2025-04-17,6,15625,0.0,0.7,73.255,-0.001,0.0,-0.0014,-0.7622,0.061
/NDXd1725A5650.U,2025-04-17,5,15650,3091.8,3282.7,91.774,0.9926,0.0,1.1149,-6.9209,0.3037
/NDXp1725A5650.U,2025-04-17,6,15650,0.0,0.7,72.6726,-0.001,0.0,-0.0014,-0.7614,0.061
/NDXd1725A5675.U,2025-04-17,5,15675,3066.8,3257.7,91.0521,0.9925,0.0,1.1167,-6.9072,0.3039
/NDXp1725A5675.U,2025-04-17,6,15675,0.0,0.7,72.091,-0.001,0.0,-0.0014,-0.7607,0.0611
/NDXd1725A5700.U,2025-04-17,5,15700,3042.1,3232.7,90.8245,0.9922,0.0,1.1181,-7.0905,0.3042
/NDXp1725A5700.U,2025-04-17,6,15700,0.0,0.7,71.5105,-0.0011,0.0,-0.0015,-0.7599,0.0611
/NDXd1725A5725.U,2025-04-17,5,15725,3010.0,3207.7,69.5592,0.9991,0.0,1.1294,-1.878,0.0611
/NDXp1725A5725.U,2025-04-17,6,15725,0.0,0.7,70.9308,-0.0011,0.0,-0.0015,-0.7592,0.0611
/NDXd1725A5750.U,2025-04-17,5,15750,2993.5,3182.7,91.6835,0.991,0.0,1.12,-7.9826,0.3047
/NDXp1725A5750.U,2025-04-17,6,15750,0.0,0.75,70.7607,-0.0011,0.0,-0.0016,-0.806,0.0612
/NDXd1725A5775.U,2025-04-17,5,15775,2960.0,3157.8,68.9638,0.999,0.0,1.1328,-1.9477,0.0612
/NDXp1725A5775.U,2025-04-17,6,15775,0.0,0.75,70.1827,-0.0011,0.0,-0.0016,-0.8053,0.0612
/NDXd1725A5800.U,2025-04-17,5,15800,2934.0,3132.8,97.1787,0.9847,0.0,1.1148,-12.5485,0.5924
/NDXp1725A5800.U,2025-04-17,6,15800,0.0,0.75,69.6055,-0.0012,0.0,-0.0016,-0.8045,0.0613
/NDXd1725A5825.U,2025-04-17,5,15825,2910.0,3107.8,67.5547,0.999,0.0,1.1365,-1.9221,0.0613
/NDXp1725A5825.U,2025-04-17,6,15825,0.0,0.75,69.0293,-0.0012,0.0,-0.0016,-0.8038,0.0613
/NDXd1725A5850.U,2025-04-17,5,15850,2884.0,3082.8,97.5694,0.983,0.0,1.1159,-13.7294,0.5934
/NDXp1725A5850.U,2025-04-17,6,15850,0.0,0.75,68.454,-0.0012,0.0,-0.0016,-0.803,0.0614
/NDXd1725A5875.U,2025-04-17,5,15875,2860.0,3057.8,66.15,0.999,0.0,1.1401,-1.8966,0.0614
/NDXp1725A5875.U,2025-04-17,6,15875,0.0,0.75,67.8797,-0.0012,0.0,-0.0016,-0.8023,0.0614
/NDXd1725A5900.U,2025-04-17,5,15900,2834.0,3032.9,85.3366,0.9913,0.0,1.1312,-7.3653,0.3058
/NDXp1725A5900.U,2025-04-17,6,15900,0.0,0.4,64.3749,-0.0007,0.0,-0.001,-0.4681,0.0614
/NDXd1725A5925.U,2025-04-17,5,15925,2810.0,3007.9,65.5632,0.9989,0.0,1.1436,-1.9663,0.0615
/NDXp1725A5925.U,2025-04-17,6,15925,0.0,0.75,66.7337,-0.0012,0.0,-0.0017,-0.8008,0.0615
/NDXd1725A5950.U,2025-04-17,5,15950,2784.0,2982.9,73.6064,0.9967,0.0,1.1423,-3.4708,0.1439
/NDXp1725A5950.U,2025-04-17,6,15950,0.0,0.75,66.1621,-0.0012,0.0,-0.0017,-0.8,0.0615
/NDXd1725A5975.U,2025-04-17,5,15975,2760.0,2957.9,64.1661,0.9989,0.0,1.1472,-1.9407,0.0615
/NDXp1725A5975.U,2025-04-17,6,15975,0.0,0.75,65.5914,-0.0012,0.0,-0.0017,-0.7992,0.0616
/NDXd1725A6000.U,2025-04-17,5,16000,2739.7,2933.0,78.8389,0.9936,0.0,1.1416,-5.5465,0.3067
/NDXp1725A6000.U,2025-04-17,6,16000,0.0,0.05,53.6814,-0.0001,0.0,-0.0002,-0.0724,0.0084
/NDXd1725A6025.U,2025-04-17,5,16025,2710.0,2908.0,63.5845,0.9988,0.0,1.1506,-2.0104,0.0616
/NDXp1725A6025.U,2025-04-17,6,16025,0.0,0.8,64.8581,-0.0013,0.0,-0.0018,-0.8453,0.0617
/NDXd1725A6050.U,2025-04-17,5,16050,2684.0,2883.0,71.5996,0.9964,0.0,1.1491,-3.5828,0.1443
/NDXp1725A6050.U,2025-04-17,6,16050,0.0,0.8,64.2898,-0.0013,0.0,-0.0018,-0.8446,0.0617
/NDXd1725A6075.U,2025-04-17,5,16075,2662.0,2858.0,71.2732,0.9963,0.0,1.1507,-3.6506,0.1445
/NDXp1725A6075.U,2025-04-17,6,16075,0.0,0.8,63.7225,-0.0013,0.0,-0.0018,-0.8438,0.0618
/NDXd1725A6100.U,2025-04-17,5,16100,2644.7,2833.0,82.9305,0.989,0.0,1.1423,-8.5825,0.5978
/NDXp1725A6100.U,2025-04-17,6,16100,0.1,0.15,57.5877,-0.0005,0.0,-0.0007,-0.3052,0.024
/NDXd1725A6125.U,2025-04-17,5,16125,2610.0,2808.1,61.6186,0.9987,0.0,1.1577,-2.0545,0.0618
/NDXp1725A6125.U,2025-04-17,6,16125,0.0,0.8,62.5904,-0.0014,0.0,-0.0019,-0.8423,0.0618
/NDXd1725A6150.U,2025-04-17,5,16150,2584.0,2783.1,81.0198,0.9883,0.0,1.145,-8.7829,0.5982
/NDXp1725A6150.U,2025-04-17,6,16150,0.0,0.8,62.0258,-0.0014,0.0,-0.0019,-0.8416,0.0619
/NDXd1725A6175.U,2025-04-17,5,16175,2560.0,2758.1,60.2365,0.9988,0.0,1.1613,-2.0289,0.0619
/NDXp1725A6175.U,2025-04-17,6,16175,0.0,0.8,61.462,-0.0014,0.0,-0.0019,-0.8408,0.0619
/NDXd1725A6200.U,2025-04-17,5,16200,2534.0,2733.1,77.6779,0.99,0.0,1.1511,-7.568,0.5989
/NDXp1725A6200.U,2025-04-17,6,16200,0.0,0.8,60.8991,-0.0014,0.0,-0.0019,-0.8401,0.062
/NDXd1725A6225.U,2025-04-17,5,16225,2510.0,2708.2,59.6653,0.9986,0.0,1.1647,-2.0986,0.062
/NDXp1725A6225.U,2025-04-17,6,16225,0.0,0.8,60.3371,-0.0014,0.0,-0.0019,-0.8393,0.062
/NDXd1725A6250.U,2025-04-17,5,16250,2484.0,2683.2,76.2633,0.9898,0.0,1.1543,-7.5776,0.5997
/NDXp1725A6250.U,2025-04-17,6,16250,0.0,0.8,59.776,-0.0014,0.0,-0.002,-0.8385,0.0621
/NDXd1725A6275.U,2025-04-17,5,16275,2460.0,2658.2,58.2905,0.9987,0.0,1.1684,-2.0731,0.0621
/NDXp1725A6275.U,2025-04-17,6,16275,0.0,0.85,59.6183,-0.0015,0.0,-0.0021,-0.8854,0.0621
/NDXd1725A6300.U,2025-04-17,5,16300,2434.0,2633.2,82.4241,0.9819,0.0,1.1469,-12.4323,0.6014
